meetnet_id,id_sg,naam_lat,naam_nl,id_vogel,vervaging
411,0,Chloephaga picta,Magelhaengans,2314,0
274,0,Orchis morio,Orchis morio,2653,5
439,0,Callonetta leucophrys,Ringtaling,18575,0
196,0,Somatochlora arctica,Hoogveenglanslibel,622,5
495,0,Numenius arquata,Wulp,203,0
415,0,Turdus merula,Merel,150,0
402,0,Netta rufina,Krooneend,10,0
496,0,Turdus philomelos,Zanglijster,204,0
483,0,Gallinula chloropus,Waterhoen,195,0
474,0,Streptopelia turtur,Zomertortel,342,0
51,0,Colias alfacariensis,Zuidelijke luzernevlinder,754,5
7,0,Ichthyosaura alpestris,Alpenwatersalamander,438,0
9,0,Lissotriton vulgaris,Kleine watersalamander,448,0
13,0,Pelophylax lessonae,Poelkikker,453,0
138,0,Aeshna affinis,Zuidelijke glazenmaker,609,0
171,0,Anax ephippiger,Zadellibel,618,0
139,0,Aeshna cyanea,Blauwe glazenmaker,610,0
8,0,Lissotriton helveticus,Vinpootsalamander,456,0
4,0,Bufo bufo,Gewone pad,442,0
140,0,Aeshna grandis,Bruine glazenmaker,611,0
166,0,Erythromma viridulum,Kleine roodoogjuffer,599,0
165,0,Erythromma najas,Grote roodoogjuffer,598,0
75,0,Issoria lathonia,Kleine parelmoervlinder,689,0
463,0,Columba livia,Stadsduif,80199,0
14,0,Pelophylax ridibundus,Meerkikker,451,0
26,0,Aporia crataegi,Groot geaderd witje,651,0
98,0,Nymphalis antiopa,Rouwmantel,659,0
29,0,Argynnis adippe,Bosrandparelmoervlinder,718,0
114,0,Polyommatus coridon,Bleek blauwtje,728,0
55,0,Cupido argiades,Staartblauwtje,745,5
198,0,Somatochlora metallica,Metaalglanslibel,624,0
69,0,Hesperia comma,Kommavlinder,691,0
33,0,Aricia agestis,Bruin blauwtje,683,0
88,0,Lycaena tityrus,Bruine vuurvlinder,684,5
42,0,Carcharodus alceae,Kaasjeskruiddikkopje,721,0
127,0,Satyrium ilicis,Bruine eikenpage,685,0
130,0,Satyrium w-album,Iepenpage,668,0
38,0,Boloria selene,Zilveren maan,682,0
107,0,Pieris napi,Klein geaderd witje,709,0
44,0,Celastrina argiolus,Boomblauwtje,697,0
160,0,Cordulia aenea,Smaragdlibel,621,0
30,0,Argynnis aglaja,Grote parelmoervlinder,678,0
132,0,Thecla betulae,Sleedoornpage,679,0
108,0,Pieris rapae,Klein koolwitje,710,0
87,0,Lycaena phlaeas,Kleine vuurvlinder,712,0
52,0,Colias croceus,Oranje luzernevlinder,726,0
90,0,Maniola jurtina,Bruin zandoogje,698,0
80,0,Leptidea sinapis,Boswitje,719,0
91,0,Melanargia galathea,Dambordje,720,0
77,0,Lasiommata maera,Rotsvlinder,743,5
128,0,Satyrium pruni,Pruimenpage,731,0
147,0,Anax parthenope,Zuidelijke keizerlibel,617,0
37,0,Boloria euphrosyne,Zilvervlek,664,5
184,0,Libellula depressa,Platbuik,627,0
183,0,Leucorrhinia rubicunda,Noordse witsnuitlibel,646,0
181,0,Leucorrhinia dubia,Venwitsnuitlibel,644,0
296,0,Sylvia cantillans,Baardgrasmus,1144,0
515,0,Pieris spec.,Witje spec.,1430,0
457,0,Anser unox,Soepgans,1413,0
456,0,Anas unox,Soepeend,1412,0
317,0,Sylvia conspicillata,Brilgrasmus,1572,0
228,0,Gryllotalpa gryllotalpa,Gryllotalpa gryllotalpa,1678,0
214,0,Chorthippus brunneus,Chorthippus brunneus,1707,0
233,0,Meconema thalassinum,Meconema thalassinum,1817,0
220,0,Chrysochraon dispar,Chrysochraon dispar,1818,0
240,0,Oedipoda caerulescens,Oedipoda caerulescens,1763,0
10,0,Lithobates catesbeianus,Amerikaanse brulkikker,1724,0
216,0,Chorthippus mollis,Chorthippus mollis,1907,0
245,0,Pholidoptera griseoaptera,Pholidoptera griseoaptera,1914,0
258,0,Tettigonia cantans,Tettigonia cantans,1918,0
257,0,Tetrix undulata,Tetrix undulata,1919,0
256,0,Tetrix tenuicornis,Tetrix tenuicornis,1920,0
255,0,Tetrix subulata,Tetrix subulata,1921,0
243,0,Omocestus viridulus,Omocestus viridulus,1916,0
229,0,Gryllus campestris,Gryllus campestris,1933,0
227,0,Gomphocerripus rufus,Gomphocerripus rufus,1935,0
217,0,Pseudochorthippus montanus,Chorthippus montanus,1906,0
213,0,Chorthippus biguttulus,Chorthippus biguttulus,1941,0
253,0,Tetrix bipunctata,Tetrix bipunctata,1923,0
